"building_id","registration_id","borough","house_number","street_name","postcode","of_dwelling_units","infested_dwelling_unit_count","eradicated_unit_count","re_infested_dwelling_unit","filing_date","filing_period_start_date","filling_period_end_date","latitude","longitude","community_board","city_council_district","census_tract_2010","bin","bbl","nta"
"344156","306009","BROOKLYN","161","NEWEL STREET","11222","6","0","0","0","2021-02-16T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.727680","-73.949030","1","33","573","3065755","3026230011","Greenpoint"
"733380","500790","STATEN ISLAND","300","EDGEWATER STREET","10305","11","0","0","0","2024-02-16T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.615778","-74.063300","1","49","6","5042152","5028290070","Rosebank-Shore Acres-Park Hill"
"355173","322333","BROOKLYN","121","PRESIDENT STREET","11231","4","0","0","0","2024-04-19T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.683410","-74.002174","6","39","51","3004456","3003420036","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"924358","346557","BROOKLYN","232","7 AVENUE","11215","6","0","0","0","2023-12-26T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.670005","-73.978995","6","39","155","3320092","3009830045","Park Slope"
"296385","304339","BROOKLYN","147","FROST STREET","11211","3","0","0","0","2025-08-20T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.718011","-73.945640","1","34","497","3068092","3027340031","East Williamsburg"
"358122","357464","BROOKLYN","389","PUTNAM AVENUE","11216","3","0","0","0","2023-07-10T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.684545","-73.945667","3","36","267","3051701","3018240063","Bedford-Stuyvesant (West)"
"705843","403865","QUEENS","861","WOODWARD AVENUE","11385","4","0","0","0","2021-05-05T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.702903","-73.902286","5","30","585","4083378","4034830034","Ridgewood"
"877716","379778","BROOKLYN","912","MOTHER GASTON BOULEVARD","11212","3","0","0","0","2023-07-06T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.656147","-73.903403","16","42","922","3388522","3036390049","Brownsville"
"233155","302281","BROOKLYN","45","DIAMOND STREET","11222","6","0","0","0","2019-02-07T00:00:00.000","2017-11-01T00:00:00.000","2018-11-30T00:00:00.000","40.724204","-73.946068","1","33","571","3066934","3026840018","Greenpoint"
"29583","611270","MANHATTAN","269","WEST 4 STREET","10014","2","0","0","0","2019-12-20T00:00:00.000","2018-11-01T00:00:00.000","2019-10-31T00:00:00.000","40.735736","-74.003388","2","3","73","1010901","1006130002","West Village"
"128574","345757","BROOKLYN","18","3 STREET","11231","3","0","0","0","2024-04-29T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.678494","-73.995100","6","39","77","3007970","3004640016","Carroll Gardens-Cobble Hill-Gowanus-Red Hook"
"994203","228170","BRONX","1228","INTERVALE AVENUE","10459","3","0","0","0","2023-06-23T00:00:00.000","2021-11-01T00:00:00.000","2022-10-31T00:00:00.000","40.828795","-73.894658","3","17","125","2114247","2029740006","Crotona Park East"
"81542","207203","BRONX","2305","GRAND AVENUE","10468","52","0","0","0","2023-12-27T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.860138","-73.905038","7","14","253","2014565","2032090060","University Heights (North)-Fordham"
"421982","409100","QUEENS","104-15","35 AVENUE","11368","6","0","0","0","2024-04-22T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.754979","-73.864011","3","21","379","4043365","4017440028","North Corona"
"741614","500813","STATEN ISLAND","36","GRAVES STREET","10314","3","0","0","0","2025-08-21T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.604830","-74.129874","2","49","18703","5019708","5007690054","Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights"
"304728","318491","BROOKLYN","125","GREENPOINT AVENUE","11222","32","0","0","0","2021-04-12T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.730114","-73.955235","1","33","565","3064722","3025580055","Greenpoint"
"505105","418448","QUEENS","143-37","95 AVENUE","11435","3","0","0","0","2024-02-14T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.697628","-73.808738","12","27","208","4213938","4099920045","Jamaica"
"382683","325710","BROOKLYN","867","TROY AVENUE","11203","6","0","0","0","2023-12-21T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.652063","-73.936230","17","41","872","3109125","3048810043","East Flatbush-Rugby"
"84284","206281","BRONX","3004","HEATH AVENUE","10463","35","0","0","0","2025-09-04T00:00:00.000","2023-11-01T00:00:00.000","2024-10-31T00:00:00.000","40.876022","-73.903001","8","14","273","2015736","2032560172","Kingsbridge Heights-Van Cortlandt Village"
"16162","110619","MANHATTAN","188","EAST 75 STREET","10021","23","0","0","0","2021-01-05T00:00:00.000","2019-11-01T00:00:00.000","2020-10-31T00:00:00.000","40.771891","-73.959662","8","4","128","1043092","1014090043","Upper East Side-Carnegie Hill"
"420550","403684","QUEENS","30-67","33 STREET","11102","17","0","0","0","2023-12-30T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.764587","-73.921043","1","22","63","4009013","4006250018","Astoria (Central)"
"371916","308173","BROOKLYN","110","SOUTH 2 STREET","11249","4","0","0","0","2024-07-03T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.713668","-73.963199","1","34","551","3063088","3024170009","Williamsburg"
"234736","365723","BROOKLYN","45","DUFFIELD STREET","11201","3","0","0","0","2023-12-29T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.697015","-73.984067","2","33","1501","3000229","3001210014","Downtown Brooklyn-DUMBO-Boerum Hill"
"105963","218816","BRONX","3250","RESERVOIR OVAL EAST","10467","3","0","0","0","2024-06-26T00:00:00.000","2022-11-01T00:00:00.000","2023-10-31T00:00:00.000","40.876075","-73.877815","7","11","423","2018158","2033430029","Norwood"
"930536","226307","BRONX","3473","CORSA AVENUE","10469","10","0","0","0","2021-12-08T00:00:00.000","2020-11-01T00:00:00.000","2021-10-31T00:00:00.000","40.877653","-73.847802","12","12","386","2093622","2047210017","Eastchester-Edenwald-Baychester"
