"registrationid","buildingid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","block","lot","bin","communityboard","lastregistrationdate","registrationenddate"
"131572","169","1","MANHATTAN","141","141","141","1 AVENUE","10010","10003","450","31","1006381","3","2025-08-13T00:00:00.000","2026-09-01T00:00:00.000"
"109808","245","1","MANHATTAN","1576","1576","1576","1 AVENUE","10010","10028","1561","45","1050399","8","2025-08-08T00:00:00.000","2026-09-01T00:00:00.000"
"125763","1043","1","MANHATTAN","1734","1734","1734","2 AVENUE","10110","10128","1553","2","1078647","8","2025-07-10T00:00:00.000","2026-09-01T00:00:00.000"
"137997","1699","1","MANHATTAN","1210","1210","1216","3 AVENUE","10210","10021","1405","33","1042739","8","2025-07-11T00:00:00.000","2026-09-01T00:00:00.000"
"124742","2193","1","MANHATTAN","340","340","340","3 AVENUE","10210","10010","881","40","1018109","6","2025-08-11T00:00:00.000","2026-09-01T00:00:00.000"
"110059","2635","1","MANHATTAN","2060","2060","2062","5 AVENUE","10410","10035","1725","33","1053634","10","2025-08-24T00:00:00.000","2026-09-01T00:00:00.000"
"113055","5685","1","MANHATTAN","1835","1835","1835","AMSTERDAM AVENUE","11710","10031","2065","61","1061588","9","2025-09-19T00:00:00.000","2026-09-01T00:00:00.000"
"122119","6529","1","MANHATTAN","134","132","134","AVENUE C","12310","10009","378","4","1004527","3","2025-08-20T00:00:00.000","2026-09-01T00:00:00.000"
"610843","7142","1","MANHATTAN","327","327","327","BLEECKER STREET","13310","10014","591","45","1010194","2","2025-09-16T00:00:00.000","2026-09-01T00:00:00.000"
"106596","7166","1","MANHATTAN","377","377","379","BLEECKER STREET","13310","10014","621","38","1011246","2","2018-10-03T00:00:00.000","2019-09-01T00:00:00.000"
"117712","8624","1","MANHATTAN","9","9","9","BROADWAY TERRACE","13710","10040","2170","509","1064106","12","2025-07-23T00:00:00.000","2026-09-01T00:00:00.000"
"129903","9401","1","MANHATTAN","20","20","20","CHARLTON STREET","14910","10014","506","22","1007831","2","2025-08-23T00:00:00.000","2026-09-01T00:00:00.000"
"100420","805012","1","MANHATTAN","144REAR","144rear","146 REAR","LUDLOW STREET","25090","10002","411","45","1077107","3","2025-12-05T00:00:00.000","2026-09-01T00:00:00.000"
"104830","9857","1","MANHATTAN","971","971","971","COLUMBUS AVENUE","15710","10025","1843","63","1055706","7","2025-07-03T00:00:00.000","2026-09-01T00:00:00.000"
"137642","9927","1","MANHATTAN","298","298","298","CONVENT AVENUE","15910","10031","2058","18","1061237","9","2017-09-26T00:00:00.000","2018-09-01T00:00:00.000"
"141459","10156","1","MANHATTAN","168 1/2","168 1/2","168 1/2","DELANCEY STREET","16310","10002","348","76","1004215","3","2025-06-30T00:00:00.000","2026-09-01T00:00:00.000"
"109980","10677","1","MANHATTAN","193","193","193","EAST 4 STREET","17070","10009","400","61","1005044","3","2025-09-11T00:00:00.000","2026-09-01T00:00:00.000"
"130653","10975","1","MANHATTAN","514","514","514","EAST 6 STREET","17110","10009","401","17","1005049","3","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
"133363","12061","1","MANHATTAN","322","322","322","EAST 14 STREET","17270","10003","455","18","1006514","3","2025-09-13T00:00:00.000","2026-09-01T00:00:00.000"
"139275","12262","1","MANHATTAN","123","123","123","EAST 18 STREET","17350","10003","874","15","1017867","5","2015-10-20T00:00:00.000","2016-09-01T00:00:00.000"
"126553","13495","1","MANHATTAN","118","118","118","EAST 38 STREET","17750","10016","893","80","1019116","6","2024-09-24T00:00:00.000","2025-09-01T00:00:00.000"
"116058","13626","1","MANHATTAN","138","138","142","EAST 40 STREET","17790","10016","895","66","1019486","6","2025-09-11T00:00:00.000","2026-09-01T00:00:00.000"
"108977","14823","1","MANHATTAN","340","340","340","EAST 61 STREET","18210","10065","1435","31","1044212","8","2025-07-23T00:00:00.000","2026-09-01T00:00:00.000"
"113362","15243","1","MANHATTAN","342","342","342","EAST 65 STREET","18290","10065","1439","35","1044701","8","2025-05-15T00:00:00.000","2026-09-01T00:00:00.000"
"117639","15336","1","MANHATTAN","61","61","61","EAST 66 STREET","18310","10065","1381","31","1041173","8","2025-08-22T00:00:00.000","2026-09-01T00:00:00.000"
"118135","16290","1","MANHATTAN","221","221","223","EAST 76 STREET","18510","10021","1431","11","1044072","8","2025-09-29T00:00:00.000","2026-09-01T00:00:00.000"
"113701","16629","1","MANHATTAN","51","51","53","EAST 78 STREET","18550","10075","1393","27","1041871","8","2025-07-28T00:00:00.000","2026-09-01T00:00:00.000"
"106781","16983","1","MANHATTAN","416","416","416","EAST 81 STREET","18610","10028","1560","41","1050381","8","2025-09-10T00:00:00.000","2026-09-01T00:00:00.000"
"130910","17212","1","MANHATTAN","131","131","133","EAST 83 STREET","18650","10028","1512","16","1047649","8","2025-09-04T00:00:00.000","2026-09-01T00:00:00.000"
"129476","18802","1","MANHATTAN","195","195","195","EAST 100 STREET","18970","10029","1628","32","1051802","11","2025-09-23T00:00:00.000","2026-09-01T00:00:00.000"
"109632","20136","1","MANHATTAN","212","212","216","EAST 119 STREET","19330","10035","1783","41","1054540","11","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"142673","868680","1","MANHATTAN","116","116","118","WEST 31 STREET","34390","10001","806","52","1087523","5","2025-12-02T00:00:00.000","2026-09-01T00:00:00.000"
"104093","21180","1","MANHATTAN","55","53","55","EAST HOUSTON STREET","19890","10012","509","26","1007922","2","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"130665","21412","1","MANHATTAN","113","113","113","ELIZABETH STREET","20190","10013","470","25","1006932","2","2024-08-23T00:00:00.000","2025-09-01T00:00:00.000"
"128586","21832","1","MANHATTAN","536","530","538","FT WASHINGTON AVENUE","21190","10033","2180","28","1064392","12","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
